"Tumor_Sample_Barcode" "type"
"TCGA-VS-A8EC-01" "TCGA-VS-A8EC" "Tumor"
"TCGA-C5-A1BI-01" "TCGA-C5-A1BI" "Tumor"
"TCGA-EK-A2RM-01" "TCGA-EK-A2RM" "Tumor"
"TCGA-Q1-A73Q-01" "TCGA-Q1-A73Q" "Tumor"
"TCGA-C5-A7CG-01" "TCGA-C5-A7CG" "Tumor"
"TCGA-EK-A2RA-01" "TCGA-EK-A2RA" "Tumor"
"TCGA-EK-A2RC-01" "TCGA-EK-A2RC" "Tumor"
"TCGA-Q1-A5R2-01" "TCGA-Q1-A5R2" "Tumor"
"TCGA-DS-A0VM-01" "TCGA-DS-A0VM" "Tumor"
"TCGA-C5-A7CO-01" "TCGA-C5-A7CO" "Tumor"
"TCGA-EA-A5O9-01" "TCGA-EA-A5O9" "Tumor"
"TCGA-EK-A2RE-01" "TCGA-EK-A2RE" "Tumor"
"TCGA-LP-A4AW-01" "TCGA-LP-A4AW" "Tumor"
"TCGA-LP-A4AX-01" "TCGA-LP-A4AX" "Tumor"
"TCGA-IR-A3LK-01" "TCGA-IR-A3LK" "Tumor"
"TCGA-EK-A2H0-01" "TCGA-EK-A2H0" "Tumor"
"TCGA-C5-A7UE-01" "TCGA-C5-A7UE" "Tumor"
"TCGA-EK-A2RK-01" "TCGA-EK-A2RK" "Tumor"
"TCGA-MA-AA41-01" "TCGA-MA-AA41" "Tumor"
"TCGA-DG-A2KH-01" "TCGA-DG-A2KH" "Tumor"
"TCGA-C5-A7CL-01" "TCGA-C5-A7CL" "Tumor"
"TCGA-WL-A834-01" "TCGA-WL-A834" "Tumor"
"TCGA-EA-A5FO-01" "TCGA-EA-A5FO" "Tumor"
"TCGA-JW-A5VI-01" "TCGA-JW-A5VI" "Tumor"
"TCGA-Q1-A73S-01" "TCGA-Q1-A73S" "Tumor"
"TCGA-UC-A7PF-01" "TCGA-UC-A7PF" "Tumor"
"TCGA-EA-A50E-01" "TCGA-EA-A50E" "Tumor"
"TCGA-BI-A20A-01" "TCGA-BI-A20A" "Tumor"
"TCGA-EA-A3HT-01" "TCGA-EA-A3HT" "Tumor"
"TCGA-VS-A9UB-01" "TCGA-VS-A9UB" "Tumor"
"TCGA-MY-A5BE-01" "TCGA-MY-A5BE" "Tumor"
"TCGA-EK-A2RJ-01" "TCGA-EK-A2RJ" "Tumor"
"TCGA-EA-A6QX-01" "TCGA-EA-A6QX" "Tumor"
"TCGA-ZJ-AAXU-01" "TCGA-ZJ-AAXU" "Tumor"
"TCGA-MY-A5BF-01" "TCGA-MY-A5BF" "Tumor"
"TCGA-VS-A9UP-01" "TCGA-VS-A9UP" "Tumor"
"TCGA-VS-A94X-01" "TCGA-VS-A94X" "Tumor"
"TCGA-VS-A9UZ-01" "TCGA-VS-A9UZ" "Tumor"
"TCGA-VS-A8QF-01" "TCGA-VS-A8QF" "Tumor"
