"","dynamicColors","mergedColors"
"C15orf40","turquoise","greenyellow"
"C15orf41","salmon","green"
"C15orf48","purple","greenyellow"
"C15orf62","turquoise","greenyellow"
"C16orf46","turquoise","greenyellow"
"C16orf54","blue","blue"
"C16orf58","turquoise","greenyellow"
"C16orf70","tan","tan"
"C16orf72","turquoise","greenyellow"
"C16orf74","green","green"
"C16orf86","black","black"
"C16orf87","turquoise","greenyellow"
"C16orf91","red","red"
"C17orf100","grey60","grey60"
"C17orf49","grey60","grey60"
"C17orf58","turquoise","greenyellow"
"C17orf75","turquoise","greenyellow"
"C17orf80","turquoise","greenyellow"
"C17orf97","black","black"
"C18orf21","red","red"
"C18orf25","turquoise","greenyellow"
"C18orf32","turquoise","greenyellow"
"C18orf54","turquoise","greenyellow"
"C19orf12","blue","blue"
"C19orf18","grey","grey"
"C19orf25","midnightblue","midnightblue"
"C19orf33","turquoise","greenyellow"
"C19orf38","blue","blue"
"C19orf44","black","black"
"C19orf48","lightcyan","lightcyan"
"C19orf53","midnightblue","midnightblue"
"C19orf54","turquoise","greenyellow"
"C19orf57","turquoise","greenyellow"
"C19orf71","turquoise","greenyellow"
"C19orf73","lightcyan","lightcyan"
"C1D","turquoise","greenyellow"
"C1GALT1","turquoise","greenyellow"
"C1GALT1C1","turquoise","greenyellow"
"C1QA","blue","blue"
"C1QB","blue","blue"
"C1QBP","grey60","grey60"
"C1QC","blue","blue"
"C1QL1","grey","grey"
"C1QL3","turquoise","greenyellow"
"C1QL4","blue","blue"
"C1QTNF1","brown","brown"
"C1QTNF2","greenyellow","greenyellow"
"C1QTNF3","brown","brown"
"C1QTNF4","grey","grey"
"C1QTNF6","brown","brown"
"C1R","blue","blue"
"C1RL","turquoise","greenyellow"
"C1S","blue","blue"
"C1orf109","turquoise","greenyellow"
"C1orf112","turquoise","greenyellow"
"C1orf115","yellow","black"
"C1orf116","green","green"
"C1orf122","red","red"
"C1orf131","cyan","cyan"
"C1orf159","red","red"
"C1orf162","blue","blue"
"C1orf174","turquoise","greenyellow"
"C1orf198","turquoise","greenyellow"
"C1orf21","green","green"
"C1orf210","yellow","black"
"C1orf216","turquoise","greenyellow"
"C1orf35","cyan","cyan"
"C1orf43","cyan","cyan"
"C1orf53","yellow","black"
"C1orf54","blue","blue"
"C1orf56","yellow","black"
"C1orf74","green","green"
"C2","blue","blue"
"C20orf27","red","red"
"C20orf96","black","black"
"C21orf58","greenyellow","greenyellow"
"C21orf91","turquoise","greenyellow"
"C22orf23","green","green"
"C22orf39","turquoise","greenyellow"
"C2CD2","turquoise","greenyellow"
"C2CD2L","black","black"
"C2CD3","turquoise","greenyellow"
"C2CD4A","yellow","black"
"C2CD4B","yellow","black"
"C2CD4C","grey","grey"
"C2CD4D","salmon","green"
"C2orf15","black","black"
"C2orf42","turquoise","greenyellow"
"C2orf49","turquoise","greenyellow"
"C2orf68","turquoise","greenyellow"
"C2orf69","turquoise","greenyellow"
"C2orf76","turquoise","greenyellow"
"C2orf88","black","black"
"C3","yellow","black"
"C3AR1","blue","blue"
"C3orf14","blue","blue"
"C3orf18","brown","brown"
"C3orf33","pink","pink"
"C3orf38","magenta","magenta"
"C3orf52","turquoise","greenyellow"
"C3orf62","magenta","magenta"
"C3orf67","purple","greenyellow"
"C3orf70","pink","pink"
"C4A","blue","blue"
"C4orf19","yellow","black"
"C4orf3","turquoise","greenyellow"
"C4orf33","turquoise","greenyellow"
"C4orf36","turquoise","greenyellow"
"C4orf46","turquoise","greenyellow"
"C4orf47","black","black"
"C4orf48","turquoise","greenyellow"
"C5","turquoise","greenyellow"
"C5AR1","blue","blue"
"C5orf15","greenyellow","greenyellow"
"C5orf22","turquoise","greenyellow"
"C5orf24","greenyellow","greenyellow"
"C5orf30","greenyellow","greenyellow"
"C5orf34","turquoise","greenyellow"
"C5orf38","yellow","black"
"C5orf46","brown","brown"
"C5orf51","turquoise","greenyellow"
"C6orf120","purple","greenyellow"
"C6orf136","royalblue","royalblue"
"C6orf15","blue","blue"
"C6orf223","yellow","black"
"C6orf47","turquoise","greenyellow"
"C6orf62","turquoise","greenyellow"
"C6orf89","royalblue","royalblue"
"C7orf26","turquoise","greenyellow"
"C7orf31","blue","blue"
"C7orf50","red","red"
"C7orf61","turquoise","greenyellow"
"C8G","blue","blue"
"C8orf33","red","red"
"C8orf37","turquoise","greenyellow"
"C8orf58","green","green"
"C8orf76","turquoise","greenyellow"
"C9orf116","black","black"
"C9orf152","yellow","black"
"C9orf16","turquoise","greenyellow"
"C9orf24","black","black"
"C9orf40","turquoise","greenyellow"
"C9orf64","turquoise","greenyellow"
"C9orf72","turquoise","greenyellow"
"C9orf78","turquoise","greenyellow"
"C9orf85","turquoise","greenyellow"
"CA11","pink","pink"
"CA12","green","green"
"CA13","yellow","black"
"CA2","green","green"
"CA3","yellow","black"
"CA5B","turquoise","greenyellow"
"CA9","blue","blue"
"CAB39","turquoise","greenyellow"
"CAB39L","turquoise","greenyellow"
"CABIN1","turquoise","greenyellow"
"CABLES1","yellow","black"
"CABLES2","turquoise","greenyellow"
"CABP4","yellow","black"
"CABYR","purple","greenyellow"
"CACHD1","turquoise","greenyellow"
"CACNA1C","brown","brown"
"CACNA1D","yellow","black"
"CACNA1H","brown","brown"
