"","dynamicColors","mergedColors"
"CDCA2","turquoise","greenyellow"
"CDCA3","turquoise","greenyellow"
"CDCA4","turquoise","greenyellow"
"CDCA5","turquoise","greenyellow"
"CDCA7","turquoise","greenyellow"
"CDCA7L","turquoise","greenyellow"
"CDCA8","turquoise","greenyellow"
"CDCP1","magenta","magenta"
"CDH1","turquoise","greenyellow"
"CDH11","brown","brown"
"CDH13","brown","brown"
"CDH16","yellow","black"
"CDH17","yellow","black"
"CDH2","brown","brown"
"CDH24","turquoise","greenyellow"
"CDH26","turquoise","greenyellow"
"CDH3","green","green"
"CDH5","brown","brown"
"CDIPT","tan","tan"
"CDK10","tan","tan"
"CDK2","turquoise","greenyellow"
"CDK2AP1","turquoise","greenyellow"
"CDK2AP2","yellow","black"
"CDK3","turquoise","greenyellow"
"CDK4","turquoise","greenyellow"
"CDK5","midnightblue","midnightblue"
"CDK5R1","turquoise","greenyellow"
"CDK5RAP1","turquoise","greenyellow"
"CDK5RAP2","turquoise","greenyellow"
"CDK5RAP3","black","black"
"CDK6","turquoise","greenyellow"
"CDK7","greenyellow","greenyellow"
"CDK8","turquoise","greenyellow"
"CDK9","turquoise","greenyellow"
"CDKAL1","royalblue","royalblue"
"CDKL1","turquoise","greenyellow"
"CDKL5","turquoise","greenyellow"
"CDKN1A","green","green"
"CDKN1B","turquoise","greenyellow"
"CDKN1C","black","black"
"CDKN2A","green","green"
"CDKN2AIP","turquoise","greenyellow"
"CDKN2AIPNL","red","red"
"CDKN2B","green","green"
"CDKN2C","turquoise","greenyellow"
"CDKN2D","turquoise","greenyellow"
"CDKN3","turquoise","greenyellow"
"CDNF","turquoise","greenyellow"
"CDO1","brown","brown"
"CDON","turquoise","greenyellow"
"CDR2","magenta","magenta"
"CDR2L","yellow","black"
"CDRT4","turquoise","greenyellow"
"CDS1","turquoise","greenyellow"
"CDS2","turquoise","greenyellow"
"CDT1","tan","tan"
"CDV3","pink","pink"
"CDX1","brown","brown"
"CDYL","turquoise","greenyellow"
"CDYL2","brown","brown"
"CEACAM1","yellow","black"
"CEACAM19","black","black"
"CEACAM21","blue","blue"
"CEACAM3","yellow","black"
"CEACAM4","blue","blue"
"CEACAM5","yellow","black"
"CEACAM6","yellow","black"
"CEACAM7","yellow","black"
"CEBPA","green","green"
"CEBPB","turquoise","greenyellow"
"CEBPD","yellow","black"
"CEBPG","turquoise","greenyellow"
"CEBPZ","turquoise","greenyellow"
"CEL","turquoise","greenyellow"
"CELSR1","turquoise","greenyellow"
"CELSR2","turquoise","greenyellow"
"CELSR3","magenta","magenta"
"CENPA","turquoise","greenyellow"
"CENPB","tan","tan"
"CENPBD1","tan","tan"
"CENPE","turquoise","greenyellow"
"CENPF","turquoise","greenyellow"
"CENPH","red","red"
"CENPI","turquoise","greenyellow"
"CENPJ","turquoise","greenyellow"
"CENPK","greenyellow","greenyellow"
"CENPL","cyan","cyan"
"CENPM","midnightblue","midnightblue"
"CENPN","tan","tan"
"CENPO","turquoise","greenyellow"
"CENPP","turquoise","greenyellow"
"CENPQ","royalblue","royalblue"
"CENPT","tan","tan"
"CENPV","green","green"
"CEP120","greenyellow","greenyellow"
"CEP135","turquoise","greenyellow"
"CEP152","turquoise","greenyellow"
"CEP164","lightgreen","lightgreen"
"CEP170","turquoise","greenyellow"
"CEP192","turquoise","greenyellow"
"CEP250","turquoise","greenyellow"
"CEP290","turquoise","greenyellow"
"CEP350","turquoise","greenyellow"
"CEP55","turquoise","greenyellow"
"CEP57","lightgreen","lightgreen"
"CEP63","pink","pink"
"CEP68","turquoise","greenyellow"
"CEP70","pink","pink"
"CEP72","turquoise","greenyellow"
"CEP76","turquoise","greenyellow"
"CEP78","turquoise","greenyellow"
"CEP97","pink","pink"
"CEPT1","turquoise","greenyellow"
"CERCAM","brown","brown"
"CERK","turquoise","greenyellow"
"CERKL","blue","blue"
"CES1","brown","brown"
"CES2","salmon","green"
"CES3","yellow","black"
"CETN2","black","black"
"CETN3","greenyellow","greenyellow"
"CETP","blue","blue"
"CFB","yellow","black"
"CFD","turquoise","greenyellow"
"CFDP1","tan","tan"
"CFH","blue","blue"
"CFI","yellow","black"
"CFL2","turquoise","greenyellow"
"CFLAR","blue","blue"
"CFP","blue","blue"
"CGB7","green","green"
"CGGBP1","magenta","magenta"
"CGN","yellow","black"
"CGNL1","brown","brown"
"CGREF1","purple","greenyellow"
"CGRRF1","purple","greenyellow"
"CH25H","blue","blue"
"CHAC1","grey","grey"
"CHAC2","turquoise","greenyellow"
"CHAD","turquoise","greenyellow"
"CHADL","midnightblue","midnightblue"
"CHAF1A","midnightblue","midnightblue"
"CHAF1B","turquoise","greenyellow"
"CHCHD1","red","red"
"CHCHD10","turquoise","greenyellow"
"CHCHD2","red","red"
"CHCHD3","turquoise","greenyellow"
"CHCHD4","magenta","magenta"
"CHCHD5","red","red"
"CHCHD6","red","red"
"CHCHD7","turquoise","greenyellow"
"CHD1","greenyellow","greenyellow"
"CHD1L","turquoise","greenyellow"
"CHD2","turquoise","greenyellow"
"CHD3","turquoise","greenyellow"
"CHD4","turquoise","greenyellow"
"CHD6","turquoise","greenyellow"
"CHD7","turquoise","greenyellow"
"CHD8","turquoise","greenyellow"
"CHD9","turquoise","greenyellow"
"CHDH","yellow","black"
"CHEK1","lightgreen","lightgreen"
"CHEK2","turquoise","greenyellow"
"CHERP","turquoise","greenyellow"
"CHI3L1","blue","blue"
"CHI3L2","blue","blue"
"CHIC1","turquoise","greenyellow"
"CHIC2","turquoise","greenyellow"
"CHID1","red","red"
"CHIT1","blue","blue"
"CHKA","green","green"
"CHKB","turquoise","greenyellow"
"CHL1","grey","grey"
"CHM","turquoise","greenyellow"
"CHML","turquoise","greenyellow"
"CHMP1A","tan","tan"
"CHMP1B","turquoise","greenyellow"
"CHMP2A","lightcyan","lightcyan"
"CHMP2B","magenta","magenta"
"CHMP4B","black","black"
"CHMP4C","turquoise","greenyellow"
"CHMP5","turquoise","greenyellow"
"CHMP6","red","red"
"CHMP7","turquoise","greenyellow"
"CHN1","brown","brown"
"CHN2","yellow","black"
"CHODL","pink","pink"
"CHORDC1","lightgreen","lightgreen"
"CHP2","green","green"
"CHPF","brown","brown"
"CHPF2","turquoise","greenyellow"
"CHPT1","turquoise","greenyellow"
"CHRAC1","turquoise","greenyellow"
"CHRD","brown","brown"
"CHRDL2","brown","brown"
"CHRNA10","turquoise","greenyellow"
"CHRNA5","turquoise","greenyellow"
"CHRNB1","tan","tan"
"CHRNB4","green","green"
"CHST1","pink","pink"
"CHST10","purple","greenyellow"
"CHST11","blue","blue"
"CHST12","blue","blue"
"CHST14","turquoise","greenyellow"
"CHST15","turquoise","greenyellow"
"CHST2","yellow","black"
"CHST3","turquoise","greenyellow"
"CHST6","yellow","black"
"CHST7","pink","pink"
"CHSY1","turquoise","greenyellow"
"CHSY3","brown","brown"
"CHTF18","red","red"
"CHTF8","tan","tan"
"CHUK","turquoise","greenyellow"
"CHURC1","turquoise","greenyellow"
"CIAO1","turquoise","greenyellow"
"CIAPIN1","tan","tan"
"CIB1","turquoise","greenyellow"
"CIB2","brown","brown"
"CIC","turquoise","greenyellow"
"CIDEB","salmon","green"
"CIITA","blue","blue"
"CILP","brown","brown"
"CILP2","brown","brown"
"CINP","red","red"
"CIR1","turquoise","greenyellow"
"CIRBP","midnightblue","midnightblue"
"CISD1","red","red"
"CISD2","turquoise","greenyellow"
"CISD3","red","red"
"CISH","blue","blue"
"CIT","turquoise","greenyellow"
"CITED2","magenta","magenta"
"CITED4","greenyellow","greenyellow"
"CIZ1","turquoise","greenyellow"
"CKAP2","turquoise","greenyellow"
"CKAP2L","turquoise","greenyellow"
"CKAP4","purple","greenyellow"
"CKAP5","turquoise","greenyellow"
"CKB","blue","blue"
"CKLF","red","red"
"CKM","grey","grey"
"CKMT1A","green","green"
"CKMT1B","green","green"
"CKMT2","yellow","black"
"CKS1B","cyan","cyan"
"CKS2","purple","greenyellow"
"CLASP1","turquoise","greenyellow"
"CLASP2","magenta","magenta"
"CLCA2","green","green"
"CLCA4","green","green"
"CLCC1","turquoise","greenyellow"
"CLCF1","yellow","black"
"CLCN1","brown","brown"
"CLCN2","turquoise","greenyellow"
"CLCN3","turquoise","greenyellow"
"CLCN4","black","black"
"CLCN5","turquoise","greenyellow"
"CLCN6","turquoise","greenyellow"
"CLCN7","turquoise","greenyellow"
"CLDN1","green","green"
"CLDN10","yellow","black"
"CLDN11","brown","brown"
"CLDN12","turquoise","greenyellow"
"CLDN14","grey","grey"
"CLDN15","turquoise","greenyellow"
"CLDN16","green","green"
"CLDN23","yellow","black"
"CLDN3","yellow","black"
"CLDN4","yellow","black"
"CLDN5","brown","brown"
"CLDN7","yellow","black"
"CLDN8","green","green"
"CLDN9","black","black"
"CLDND1","pink","pink"
"CLDND2","turquoise","greenyellow"
"CLEC10A","blue","blue"
"CLEC11A","brown","brown"
"CLEC12A","blue","blue"
"CLEC14A","brown","brown"
"CLEC16A","turquoise","greenyellow"
"CLEC1A","blue","blue"
"CLEC2B","green","green"
"CLEC2D","blue","blue"
"CLEC3B","brown","brown"
"CLEC4A","blue","blue"
"CLEC4E","blue","blue"
"CLEC5A","blue","blue"
"CLEC7A","blue","blue"
"CLECL1","blue","blue"
"CLGN","black","black"
"CLIC1","red","red"
"CLIC2","blue","blue"
"CLIC3","green","green"
"CLIC4","turquoise","greenyellow"
"CLIC5","yellow","black"
"CLIC6","yellow","black"
"CLINT1","greenyellow","greenyellow"
"CLIP1","salmon","green"
"CLIP2","brown","brown"
"CLIP3","brown","brown"
"CLIP4","green","green"
"CLK1","turquoise","greenyellow"
"CLK2","turquoise","greenyellow"
"CLK3","turquoise","greenyellow"
"CLK4","greenyellow","greenyellow"
"CLLU1OS","grey","grey"
"CLMN","turquoise","greenyellow"
"CLN3","red","red"
"CLN5","turquoise","greenyellow"
"CLN6","red","red"
"CLN8","turquoise","greenyellow"
"CLNS1A","turquoise","greenyellow"
"CLOCK","turquoise","greenyellow"
"CLPB","turquoise","greenyellow"
"CLPP","midnightblue","midnightblue"
"CLPTM1","turquoise","greenyellow"
"CLPTM1L","turquoise","greenyellow"
"CLPX","turquoise","greenyellow"
"CLSPN","turquoise","greenyellow"
"CLSTN1","turquoise","greenyellow"
"CLSTN2","brown","brown"
"CLSTN3","turquoise","greenyellow"
"CLTA","red","red"
"CLTB","purple","greenyellow"
"CLTC","turquoise","greenyellow"
"CLTCL1","turquoise","greenyellow"
"CLU","brown","brown"
"CLUAP1","black","black"
"CLYBL","lightyellow","greenyellow"
"CMAS","turquoise","greenyellow"
"CMBL","yellow","black"
"CMC1","magenta","magenta"
"CMIP","salmon","green"
"CMKLR1","blue","blue"
"CMPK1","turquoise","greenyellow"
"CMPK2","blue","blue"
"CMTM1","turquoise","greenyellow"
"CMTM2","yellow","black"
"CMTM3","brown","brown"
"CMTM4","turquoise","greenyellow"
"CMTM6","magenta","magenta"
"CMTM7","green","green"
"CMTM8","yellow","black"
"CMYA5","turquoise","greenyellow"
"CNBP","pink","pink"
"CNDP2","turquoise","greenyellow"
"CNFN","green","green"
"CNGA1","green","green"
"CNGB1","yellow","black"
"CNIH2","pink","pink"
"CNIH3","brown","brown"
"CNKSR1","turquoise","greenyellow"
"CNKSR3","turquoise","greenyellow"
"CNN1","brown","brown"
"CNN2","turquoise","greenyellow"
"CNN3","turquoise","greenyellow"
"CNNM1","grey","grey"
"CNNM2","turquoise","greenyellow"
"CNNM3","turquoise","greenyellow"
"CNNM4","turquoise","greenyellow"
"CNOT1","tan","tan"
"CNOT10","magenta","magenta"
"CNOT3","turquoise","greenyellow"
"CNOT4","turquoise","greenyellow"
"CNOT6","greenyellow","greenyellow"
"CNOT6L","turquoise","greenyellow"
"CNOT7","turquoise","greenyellow"
"CNOT8","greenyellow","greenyellow"
"CNP","turquoise","greenyellow"
"CNPY2","red","red"
"CNPY3","red","red"
"CNPY4","turquoise","greenyellow"
"CNRIP1","brown","brown"
"CNTD1","turquoise","greenyellow"
"CNTD2","grey","grey"
"CNTFR","grey","grey"
"CNTLN","turquoise","greenyellow"
"CNTN1","brown","brown"
"CNTN4","brown","brown"
"CNTNAP1","turquoise","greenyellow"
"CNTNAP3","turquoise","greenyellow"
"CNTROB","grey60","grey60"
"COBL","yellow","black"
"COBLL1","salmon","green"
"COCH","turquoise","greenyellow"
"COG1","turquoise","greenyellow"
"COG2","turquoise","greenyellow"
"COG3","turquoise","greenyellow"
"COG4","tan","tan"
"COG5","turquoise","greenyellow"
"COG6","turquoise","greenyellow"
"COG7","turquoise","greenyellow"
"COG8","tan","tan"
"COIL","turquoise","greenyellow"
"COL10A1","brown","brown"
"COL11A1","brown","brown"
"COL11A2","purple","greenyellow"
"COL12A1","brown","brown"
"COL13A1","brown","brown"
"COL14A1","brown","brown"
"COL15A1","brown","brown"
"COL16A1","brown","brown"
"COL17A1","green","green"
"COL18A1","brown","brown"
"COL1A1","brown","brown"
"COL1A2","brown","brown"
"COL21A1","turquoise","greenyellow"
"COL22A1","blue","blue"
"COL23A1","blue","blue"
"COL27A1","brown","brown"
"COL3A1","brown","brown"
"COL4A1","brown","brown"
"COL4A2","brown","brown"
"COL4A4","grey","grey"
"COL4A5","turquoise","greenyellow"
"COL4A6","tan","tan"
"COL5A1","brown","brown"
"COL5A2","brown","brown"
"COL5A3","brown","brown"
"COL6A1","brown","brown"
"COL6A2","brown","brown"
"COL6A3","brown","brown"
"COL7A1","green","green"
"COL8A1","brown","brown"
"COL8A2","salmon","green"
"COL9A2","black","black"
"COL9A3","yellow","black"
"COLEC11","grey","grey"
"COLEC12","brown","brown"
"COLQ","brown","brown"
"COMMD1","red","red"
"COMMD10","greenyellow","greenyellow"
"COMMD2","pink","pink"
"COMMD3","cyan","cyan"
"COMMD4","red","red"
"COMMD5","red","red"
"COMMD6","red","red"
"COMMD7","black","black"
"COMMD8","lightyellow","greenyellow"
"COMP","brown","brown"
"COMT","grey","grey"
"COMTD1","turquoise","greenyellow"
"COPA","cyan","cyan"
"COPB1","turquoise","greenyellow"
"COPB2","pink","pink"
"COPE","midnightblue","midnightblue"
"COPG2","turquoise","greenyellow"
"COPS2","turquoise","greenyellow"
"COPS3","grey60","grey60"
"COPS4","turquoise","greenyellow"
"COPS6","red","red"
"COPS7A","turquoise","greenyellow"
"COPS7B","darkred","darkred"
"COPS8","darkred","darkred"
"COPZ2","green","green"
"COQ10A","black","black"
"COQ10B","turquoise","greenyellow"
"COQ2","turquoise","greenyellow"
"COQ3","red","red"
"COQ4","black","black"
"COQ5","turquoise","greenyellow"
"COQ7","turquoise","greenyellow"
"COQ9","tan","tan"
"CORO1A","blue","blue"
"CORO1B","yellow","black"
"CORO1C","turquoise","greenyellow"
"CORO2A","turquoise","greenyellow"
"CORO2B","brown","brown"
"CORO6","yellow","black"
"CORO7","blue","blue"
"CORT","black","black"
"COTL1","blue","blue"
"COX10","grey60","grey60"
"COX11","turquoise","greenyellow"
"COX15","turquoise","greenyellow"
"COX17","turquoise","greenyellow"
"COX18","lightyellow","greenyellow"
"COX19","red","red"
"COX4I1","red","red"
"COX4I2","brown","brown"
"COX5A","red","red"
"COX5B","turquoise","greenyellow"
"COX6A1","red","red"
"COX6A2","black","black"
"COX6B1","lightcyan","lightcyan"
"COX6B2","green","green"
"COX6C","red","red"
"COX7A1","brown","brown"
"COX7A2","red","red"
"COX7A2L","turquoise","greenyellow"
"COX7B","turquoise","greenyellow"
"COX7C","red","red"
"COX8A","red","red"
"CP","yellow","black"
"CPA3","blue","blue"
"CPA4","yellow","black"
"CPA6","green","green"
"CPAMD8","black","black"
"CPD","yellow","black"
"CPE","turquoise","greenyellow"
"CPEB2","turquoise","greenyellow"
"CPEB3","turquoise","greenyellow"
"CPEB4","turquoise","greenyellow"
"CPLX1","yellow","black"
"CPM","blue","blue"
"CPNE1","tan","tan"
"CPNE2","turquoise","greenyellow"
"CPNE3","turquoise","greenyellow"
"CPNE5","blue","blue"
"CPNE7","grey","grey"
"CPNE8","green","green"
"CPOX","pink","pink"
"CPPED1","brown","brown"
"CPSF1","turquoise","greenyellow"
"CPSF2","turquoise","greenyellow"
"CPSF3","turquoise","greenyellow"
"CPSF4","turquoise","greenyellow"
"CPSF6","turquoise","greenyellow"
"CPT1A","turquoise","greenyellow"
"CPT1B","turquoise","greenyellow"
"CPT1C","turquoise","greenyellow"
"CPT2","turquoise","greenyellow"
"CPVL","blue","blue"
"CPXM1","brown","brown"
"CPXM2","brown","brown"
"CPZ","brown","brown"
"CRABP2","green","green"
"CRADD","turquoise","greenyellow"
"CRAT","grey","grey"
"CRB3","midnightblue","midnightblue"
"CRBN","magenta","magenta"
"CRCP","turquoise","greenyellow"
"CRCT1","green","green"
"CREB1","turquoise","greenyellow"
"CREB3","yellow","black"
"CREB3L1","yellow","black"
"CREB3L2","turquoise","greenyellow"
"CREB3L4","yellow","black"
"CREB5","purple","greenyellow"
"CREBBP","turquoise","greenyellow"
"CREBL2","turquoise","greenyellow"
"CREBZF","lightgreen","lightgreen"
"CREG1","blue","blue"
"CREG2","green","green"
"CRELD1","magenta","magenta"
"CRELD2","yellow","black"
"CREM","turquoise","greenyellow"
"CRIM1","turquoise","greenyellow"
"CRIP1","yellow","black"
"CRIP2","black","black"
"CRIPAK","lightyellow","greenyellow"
"CRIPT","turquoise","greenyellow"
"CRISP3","yellow","black"
"CRISPLD1","brown","brown"
"CRISPLD2","brown","brown"
"CRK","grey60","grey60"
"CRKL","turquoise","greenyellow"
"CRLF1","grey","grey"
"CRLF3","turquoise","greenyellow"
"CRLS1","black","black"
"CRMP1","turquoise","greenyellow"
"CRNKL1","turquoise","greenyellow"
"CRNN","green","green"
"CROCC","turquoise","greenyellow"
"CROT","salmon","green"
"CRTAM","blue","blue"
"CRTAP","magenta","magenta"
"CRTC1","black","black"
"CRTC2","cyan","cyan"
"CRTC3","turquoise","greenyellow"
"CRY1","turquoise","greenyellow"
"CRY2","turquoise","greenyellow"
"CRYAB","green","green"
"CRYBB1","blue","blue"
"CRYBB2","grey","grey"
"CRYBB3","grey","grey"
"CRYBG3","turquoise","greenyellow"
"CRYGS","pink","pink"
"CRYL1","black","black"
"CRYM","yellow","black"
"CRYZ","greenyellow","greenyellow"
"CRYZL1","turquoise","greenyellow"
"CS","turquoise","greenyellow"
"CSAD","turquoise","greenyellow"
"CSDC2","brown","brown"
"CSDE1","turquoise","greenyellow"
"CSE1L","turquoise","greenyellow"
"CSF1","blue","blue"
"CSF1R","blue","blue"
"CSF2","brown","brown"
"CSF2RA","blue","blue"
"CSF2RB","blue","blue"
"CSF3","grey","grey"
"CSF3R","blue","blue"
"CSGALNACT1","brown","brown"
"CSGALNACT2","turquoise","greenyellow"
"CSK","turquoise","greenyellow"
"CSNK1A1","turquoise","greenyellow"
"CSNK1D","turquoise","greenyellow"
"CSNK1E","turquoise","greenyellow"
"CSNK1G1","turquoise","greenyellow"
"CSNK1G2","midnightblue","midnightblue"
"CSNK1G3","greenyellow","greenyellow"
"CSNK2A1","turquoise","greenyellow"
"CSNK2A2","tan","tan"
"CSNK2B","red","red"
"CSPG4","brown","brown"
"CSPG5","black","black"
"CSPP1","turquoise","greenyellow"
"CSRNP2","turquoise","greenyellow"
"CSRP1","brown","brown"
"CSRP2","turquoise","greenyellow"
"CST1","brown","brown"
"CST2","brown","brown"
"CST3","turquoise","greenyellow"
"CST6","yellow","black"
"CST7","blue","blue"
"CSTA","green","green"
"CSTB","green","green"
"CSTF1","turquoise","greenyellow"
"CSTF2","turquoise","greenyellow"
"CSTF2T","turquoise","greenyellow"
"CSTF3","turquoise","greenyellow"
"CTBP1","lightyellow","greenyellow"
"CTBP2","turquoise","greenyellow"
"CTBS","turquoise","greenyellow"
"CTCF","tan","tan"
"CTDP1","turquoise","greenyellow"
"CTDSP1","darkred","darkred"
"CTDSP2","turquoise","greenyellow"
"CTDSPL","magenta","magenta"
"CTDSPL2","turquoise","greenyellow"
"CTF1","black","black"
"CTH","green","green"
"CTHRC1","brown","brown"
"CTLA4","blue","blue"
"CTNNA1","greenyellow","greenyellow"
"CTNNAL1","purple","greenyellow"
"CTNNB1","magenta","magenta"
"CTNNBIP1","green","green"
"CTNNBL1","tan","tan"
"CTNND1","salmon","green"
"CTNS","grey60","grey60"
"CTPS2","turquoise","greenyellow"
"CTR9","turquoise","greenyellow"
"CTSA","purple","greenyellow"
"CTSB","blue","blue"
"CTSC","blue","blue"
"CTSD","blue","blue"
"CTSE","yellow","black"
"CTSF","black","black"
"CTSG","blue","blue"
"CTSH","blue","blue"
"CTSK","brown","brown"
"CTSO","blue","blue"
"CTSS","blue","blue"
"CTSW","blue","blue"
"CTSZ","blue","blue"
"CTTN","turquoise","greenyellow"
"CTTNBP2","brown","brown"
"CTTNBP2NL","turquoise","greenyellow"
"CTU2","tan","tan"
"CTXN1","black","black"
"CUEDC1","black","black"
"CUEDC2","red","red"
"CUL1","turquoise","greenyellow"
"CUL2","turquoise","greenyellow"
"CUL3","darkred","darkred"
"CUL4A","turquoise","greenyellow"
"CUL4B","turquoise","greenyellow"
"CUL5","lightgreen","lightgreen"
"CUL7","royalblue","royalblue"
"CUL9","turquoise","greenyellow"
"CUTA","red","red"
"CUTC","turquoise","greenyellow"
"CUX1","turquoise","greenyellow"
"CUZD1","turquoise","greenyellow"
"CWC15","lightgreen","lightgreen"
"CWC22","turquoise","greenyellow"
"CWF19L1","turquoise","greenyellow"
"CWF19L2","lightgreen","lightgreen"
"CX3CL1","blue","blue"
"CX3CR1","blue","blue"
"CXADR","turquoise","greenyellow"
"CXCL1","grey","grey"
"CXCL10","blue","blue"
"CXCL11","blue","blue"
"CXCL12","brown","brown"
"CXCL13","blue","blue"
"CXCL14","brown","brown"
"CXCL16","blue","blue"
"CXCL17","grey","grey"
"CXCL2","yellow","black"
"CXCL3","yellow","black"
"CXCL5","yellow","black"
"CXCL6","turquoise","greenyellow"
"CXCL9","blue","blue"
"CXCR1","blue","blue"
"CXCR3","blue","blue"
"CXCR4","blue","blue"
"CXCR6","blue","blue"
"CXXC1","turquoise","greenyellow"
"CXXC5","yellow","black"
"CXorf21","blue","blue"
"CXorf38","turquoise","greenyellow"
"CXorf40A","turquoise","greenyellow"
"CXorf40B","turquoise","greenyellow"
"CXorf56","turquoise","greenyellow"
"CXorf65","blue","blue"
"CYB561","black","black"
"CYB561D1","turquoise","greenyellow"
"CYB561D2","yellow","black"
"CYB5A","turquoise","greenyellow"
"CYB5B","tan","tan"
"CYB5D1","grey60","grey60"
"CYB5D2","yellow","black"
"CYB5R1","green","green"
"CYB5R2","blue","blue"
"CYB5R3","turquoise","greenyellow"
"CYB5R4","turquoise","greenyellow"
"CYB5RL","turquoise","greenyellow"
"CYBA","blue","blue"
"CYBB","blue","blue"
"CYBRD1","turquoise","greenyellow"
"CYC1","red","red"
"CYCS","greenyellow","greenyellow"
"CYFIP1","turquoise","greenyellow"
"CYFIP2","greenyellow","greenyellow"
"CYGB","brown","brown"
"CYHR1","red","red"
"CYLD","blue","blue"
"CYP1B1","turquoise","greenyellow"
"CYP20A1","darkred","darkred"
"CYP24A1","salmon","green"
"CYP26B1","turquoise","greenyellow"
"CYP27A1","brown","brown"
"CYP27B1","tan","tan"
"CYP27C1","green","green"
"CYP2C18","blue","blue"
"CYP2D6","black","black"
"CYP2E1","grey","grey"
"CYP2J2","yellow","black"
"CYP2R1","turquoise","greenyellow"
"CYP2S1","green","green"
"CYP2U1","turquoise","greenyellow"
"CYP2W1","yellow","black"
"CYP39A1","turquoise","greenyellow"
"CYP3A5","yellow","black"
"CYP4B1","greenyellow","greenyellow"
"CYP4F11","green","green"
"CYP4F12","grey","grey"
"CYP4F22","green","green"
"CYP4F3","green","green"
"CYP4V2","yellow","black"
"CYP4X1","greenyellow","greenyellow"
"CYP4Z1","greenyellow","greenyellow"
"CYP51A1","turquoise","greenyellow"
"CYP7B1","green","green"
"CYS1","brown","brown"
"CYSLTR1","blue","blue"
"CYTH1","turquoise","greenyellow"
"CYTH2","lightcyan","lightcyan"
"CYTH3","turquoise","greenyellow"
"CYTH4","blue","blue"
"CYTIP","blue","blue"
"CYTL1","brown","brown"
"CYYR1","brown","brown"
"D2HGDH","darkred","darkred"
"DAAM1","salmon","green"
"DAAM2","brown","brown"
"DAB2","brown","brown"
"DAB2IP","turquoise","greenyellow"
"DACH1","brown","brown"
"DACT1","brown","brown"
"DACT2","yellow","black"
"DACT3","brown","brown"
"DAD1","turquoise","greenyellow"
"DAG1","magenta","magenta"
"DAGLA","turquoise","greenyellow"
"DALRD3","magenta","magenta"
"DAND5","yellow","black"
"DAP","magenta","magenta"
"DAP3","cyan","cyan"
"DAPK1","yellow","black"
"DAPK2","blue","blue"
"DAPK3","midnightblue","midnightblue"
"DAPL1","pink","pink"
"DAPP1","green","green"
"DARS2","cyan","cyan"
"DAXX","royalblue","royalblue"
"DAZAP2","turquoise","greenyellow"
"DBF4","turquoise","greenyellow"
"DBF4B","turquoise","greenyellow"
"DBI","pink","pink"
"DBN1","brown","brown"
"DBNDD1","tan","tan"
"DBNDD2","turquoise","greenyellow"
"DBNL","green","green"
"DBP","grey","grey"
"DBR1","pink","pink"
"DBT","turquoise","greenyellow"
"DCAF10","turquoise","greenyellow"
"DCAF15","turquoise","greenyellow"
"DCAF16","lightyellow","greenyellow"
"DCAF6","cyan","cyan"
"DCAF7","turquoise","greenyellow"
"DCAKD","turquoise","greenyellow"
"DCBLD1","purple","greenyellow"
"DCBLD2","turquoise","greenyellow"
"DCHS1","brown","brown"
"DCK","turquoise","greenyellow"
"DCLK1","brown","brown"
"DCLK2","brown","brown"
"DCLRE1A","turquoise","greenyellow"
"DCLRE1B","turquoise","greenyellow"
"DCLRE1C","turquoise","greenyellow"
"DCN","brown","brown"
"DCP1A","magenta","magenta"
"DCP1B","turquoise","greenyellow"
"DCP2","greenyellow","greenyellow"
"DCPS","yellow","black"
"DCST1","turquoise","greenyellow"
"DCST2","turquoise","greenyellow"
"DCTD","turquoise","greenyellow"
"DCTN1","turquoise","greenyellow"
"DCTN3","midnightblue","midnightblue"
"DCTN4","greenyellow","greenyellow"
"DCTN5","turquoise","greenyellow"
"DCTN6","turquoise","greenyellow"
"DCTPP1","red","red"
"DCUN1D1","pink","pink"
"DCUN1D2","turquoise","greenyellow"
"DCUN1D3","turquoise","greenyellow"
"DCUN1D4","turquoise","greenyellow"
"DCUN1D5","turquoise","greenyellow"
"DCXR","red","red"
"DDAH1","yellow","black"
"DDAH2","yellow","black"
"DDB1","turquoise","greenyellow"
"DDB2","turquoise","greenyellow"
"DDHD1","turquoise","greenyellow"
"DDHD2","turquoise","greenyellow"
"DDI2","turquoise","greenyellow"
"DDIT3","grey","grey"
"DDIT4","turquoise","greenyellow"
"DDIT4L","brown","brown"
"DDN","turquoise","greenyellow"
"DDO","yellow","black"
"DDOST","turquoise","greenyellow"
"DDR1","turquoise","greenyellow"
"DDR2","brown","brown"
"DDRGK1","red","red"
"DDT","red","red"
"DDTL","turquoise","greenyellow"
"DDX1","turquoise","greenyellow"
"DDX10","lightgreen","lightgreen"
"DDX11","turquoise","greenyellow"
"DDX17","turquoise","greenyellow"
"DDX18","turquoise","greenyellow"
"DDX19A","tan","tan"
"DDX19B","tan","tan"
"DDX20","turquoise","greenyellow"
"DDX21","turquoise","greenyellow"
"DDX23","turquoise","greenyellow"
"DDX24","turquoise","greenyellow"
"DDX27","turquoise","greenyellow"
"DDX28","tan","tan"
"DDX31","turquoise","greenyellow"
"DDX3X","turquoise","greenyellow"
"DDX41","red","red"
"DDX42","turquoise","greenyellow"
"DDX46","greenyellow","greenyellow"
"DDX47","turquoise","greenyellow"
"DDX49","midnightblue","midnightblue"
"DDX5","turquoise","greenyellow"
