"","p.value","HR","Low 95%CI","High 95%CI"
"CMTM8",0.295666790482193,1.10077183446135,0.919494230097159,1.3177881838534
"GHDC",0.352363574121077,1.16464330293569,0.844684034840211,1.60580047346289
"C11orf49",0.425666399515813,1.13488700049219,0.831287991854844,1.54936498121707
"SGK2",0.631494192160876,1.05448323576852,0.848963710673165,1.30975550608065
"GALNT6",0.528339041149306,1.05674016254658,0.890155916950056,1.25449907131453
"TMEM71",0.359532196016223,0.911230044405563,0.746910210336141,1.11170015128549
"SERPINA1",0.807618842468286,0.983544044765966,0.86057756658602,1.12408099578076
"SYS1",0.852386207699248,1.04114677202069,0.680855257260998,1.59209551417706
"TPK1",0.769369149079815,0.928646004602967,0.566157714276989,1.52322114512978
"PLEKHH2",0.502987746410997,1.06926780314169,0.878968520787588,1.30076744251432
"SLC2A11",0.436940066642122,0.870428206415032,0.613455799438889,1.23504458384106
"CACNB1",0.606005022665508,0.933352231727865,0.718157502278617,1.21302971243405
"GNAZ",0.0878464495510691,0.838607119484205,0.685144725168127,1.02644284487051
"SLC43A2",0.344193568522959,0.857965153541305,0.624620625715343,1.17848206477033
"LIPH",0.148077397635958,0.894041651060174,0.768143577395798,1.04057431104256
"CXCL3",0.00254709795918069,1.20824043785581,1.06855146427032,1.36619059023694
"HNF4G",0.711536302254576,1.03558740147302,0.860388418471545,1.24646176432129
"RAB34",0.584831625038646,0.92373292682123,0.694938490713468,1.2278533014018
"CADPS2",0.612468143077883,0.947351096787121,0.768469869465449,1.16787155390757
"GALNT10",0.0261402370684659,1.34118204021584,1.03547987568486,1.73713589924461
"TLE2",0.745047226654547,0.976685661316632,0.847233627417975,1.12591716163185
"CYP4V2",0.663512320468205,0.937151875453858,0.699544519294114,1.25546496819516
"SLC25A45",0.00598472702077535,0.519911506837871,0.326111742182772,0.828881453740877
"TCEAL3",0.772837283118903,0.967029228359158,0.770155281961064,1.21422984481743
"GPRC5C",0.947257210612166,1.00548800504079,0.854974758494239,1.18249821791402
"TRAF5",0.453248108859627,1.11276329553134,0.841668023493736,1.471176422673
"ABCC6",0.506081238362109,0.911195319550313,0.692731944405516,1.19855438611672
"KCNE3",0.592276798611065,0.954507489752029,0.804962989400476,1.13183408428663
"CLDN9",0.692922923265432,0.971178917824314,0.839965862228701,1.12288907542483
"SCCPDH",0.870166806604692,0.986124079918676,0.83399248295258,1.16600655386333
"TMEM37",0.144424794133043,0.86798065753744,0.717688015823336,1.0497464152231
"SEMA3B",0.52020749827559,1.04236695984062,0.918529521151481,1.18290033575109
